text,label
I love this product! Works great.,positive
Absolutely fantastic performance.,positive
Great value for money.,positive
Super fast delivery and quality build.,positive
Exceeded my expectations.,positive
"This is terrible, I'm disappointed.",negative
Broke after one week.,negative
Customer service was unhelpful.,negative
Not worth the price.,negative
Worst experience I have had.,negative
"Average experience, nothing special.",neutral
It works as expected.,neutral
Product arrived on time.,neutral
Packaging was ok.,neutral
No issues so far.,neutral
